size,ave,sd,min,max
53,2.191686,0.006208,2.179638,2.203342
523,2.191169,0.006048,2.175868,2.207661
1045,2.191149,0.006081,2.174535,2.207661
1513,2.191082,0.006099,2.173001,2.207661
2031,2.191100,0.006085,2.173001,2.210460
2550,2.191134,0.006151,2.173001,2.210460
3017,2.191148,0.006171,2.173001,2.210460
3537,2.191167,0.006160,2.173001,2.210460
4010,2.191194,0.006155,2.173001,2.210460
4529,2.191211,0.006159,2.173001,2.210460
5000,2.191213,0.006181,2.173001,2.210460
5522,2.191214,0.006165,2.173001,2.210572
6048,2.191213,0.006165,2.173001,2.211448
6518,2.191224,0.006175,2.173001,2.211448
7039,2.191199,0.006180,2.173001,2.211448
7504,2.191200,0.006187,2.173001,2.211448
8030,2.191195,0.006200,2.173001,2.211448
8552,2.191172,0.006217,2.173001,2.211448
9023,2.191168,0.006223,2.173001,2.211448
9537,2.191161,0.006228,2.173001,2.211448
10006,2.191163,0.006235,2.173001,2.211448

