size,ave,sd,min,max,times
158,2.640291,-nan,2.168146,2.209615,1
629,2.640498,-nan,2.168146,2.217056,4
1099,2.640492,-nan,2.168012,2.217056,7
1570,2.640567,-nan,2.168012,2.217056,10
2033,2.640617,-nan,2.168012,2.217056,13
2651,2.640726,-nan,2.168012,2.217056,17
3062,2.640696,-nan,2.168012,2.217056,20
3594,2.640795,-nan,2.168012,2.217056,25
4064,2.640736,-nan,2.168012,2.217056,28
4538,2.640734,-nan,2.168012,2.217056,31
5006,2.640701,-nan,2.168012,2.217056,34
5625,2.640707,-nan,2.168012,2.217056,38
6096,2.640700,-nan,2.168012,2.217056,41
6568,2.640688,-nan,2.168012,2.217056,44
7040,2.640677,-nan,2.168012,2.217056,47
7510,2.640690,-nan,2.168012,2.217056,50
8130,2.640694,-nan,2.168012,2.217056,54
8601,2.640683,-nan,2.168012,2.217056,57
9072,2.640697,-nan,2.168012,2.217056,60
9539,2.640691,-nan,2.168012,2.217056,63
10015,2.640698,-nan,2.168012,2.217056,68

